req_ts,unique_id,railroad,origination_time,trip_id,train_no,route,direction,stop,scheduled_arrival_time,arrival_time,scheduled_departure_time,departure_time,schedule_relationship,trip_schedule_relationship,inferred_from_schedule
,MBTA|20260731|1945|WMLRailJob-841739-1945,MBTA,1785551700,WMLRailJob-841739-1945,1945,Fall River/New Bedford Line,Outbound,Middleborough,1785555480,1785555480,1785555480,1785555480,SCHEDULED,SCHEDULED,True
,MBTA|20260731|1945|WMLRailJob-841739-1945,MBTA,1785551700,WMLRailJob-841739-1945,1945,Fall River/New Bedford Line,Outbound,East Taunton,1785556140,1785556140,1785556140,1785556140,SCHEDULED,SCHEDULED,True
1785556800,MBTA|20260731|1945|WMLRailJob-841739-1945,MBTA,1785551700,WMLRailJob-841739-1945,1945,Fall River/New Bedford Line,Outbound,Freetown,1785556800,1785556800,1785556800,1785556800,SCHEDULED,SCHEDULED,False
1785557640,MBTA|20260731|1945|WMLRailJob-841739-1945,MBTA,1785551700,WMLRailJob-841739-1945,1945,Fall River/New Bedford Line,Outbound,Fall River Depot,1785557640,1785557220,1785557640,,SCHEDULED,SCHEDULED,False
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,South Station,1785552300,1785552300,1785552300,1785552300,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Back Bay,1785552600,1785552600,1785552600,1785552600,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Ruggles,1785552780,1785552780,1785552780,1785552780,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Forest Hills,1785553080,1785553080,1785553080,1785553080,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Hyde Park,1785553380,1785553380,1785553380,1785553380,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Route 128,1785553680,1785553680,1785553680,1785553680,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Canton Junction,1785554040,1785554040,1785554040,1785554040,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Sharon,1785554400,1785554400,1785554400,1785554400,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Mansfield,1785554880,1785554880,1785554880,1785554880,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Attleboro,1785555360,1785555360,1785555360,1785555360,SCHEDULED,SCHEDULED,True
,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Pawtucket/Central Falls,1785555900,1785555900,1785555900,1785555900,SCHEDULED,SCHEDULED,True
1785556860,MBTA|20260731|889|WMLRailJob-841863-889,MBTA,1785552300,WMLRailJob-841863-889,889,Providence/Stoughton Line,Outbound,Providence,1785556860,1785556588,1785556860,,SCHEDULED,SCHEDULED,False
,MBTA|20260731|592|WMLRailJob-841822-592,MBTA,1785552600,WMLRailJob-841822-592,592,Framingham/Worcester Line,Inbound,Worcester,1785552600,1785552600,1785552600,1785552600,SCHEDULED,SCHEDULED,True
